Parent;Child;Source;Weight;Confidence
alternative metal;nu metal;wikidata;1;0.85
alternative metal;rap metal;wikidata;1;0.85
alternative music;adult album alternative;wikidata;1;0.85
alternative music;alternative country;wikidata;1;0.85
alternative music;alternative folk;wikidata;1;0.85
alternative music;alternative hip-hop;wikidata;1;0.85
alternative music;alternative metal;wikidata;1;0.85
alternative music;alternative pop;wikidata;1;0.85
alternative music;alternative punk;wikidata;1;0.85
alternative music;alternative rock;wikidata;1;0.85
alternative music;alternative singer-songwriter music;wikidata;1;0.85
alternative music;antipop;wikidata;1;0.85
alternative music;chanson alternative;wikidata;1;0.85
alternative music;Chinese alternative music;wikidata;1;0.85
alternative music;gothic music;wikidata;1;0.85
alternative music;indietronica;wikidata;1;0.85
alternative music;Latin alternative;wikidata;1;0.85
alternative music;progressive alternative music;wikidata;1;0.85
alternative music;Turkish alternative music;wikidata;1;0.85
alternative pop;dark pop;wikidata;1;0.85
alternative rock;alternative dance;wikidata;1;0.85
alternative rock;baggy;wikidata;1;0.85
alternative rock;Britpop;wikidata;1;0.85
alternative rock;Christian alternative rock;wikidata;1;0.85
alternative rock;college rock;wikidata;1;0.85
alternative rock;dark rock;wikidata;1;0.85
alternative rock;emo;wikidata;1;0.85
alternative rock;emo pop;wikidata;1;0.85
alternative rock;geek rock;wikidata;1;0.85
alternative rock;gothic rock;wikidata;1;0.85
alternative rock;grunge;wikidata;1;0.85
alternative rock;indie rock;wikidata;1;0.85
alternative rock;Iranian alternative rock;wikidata;1;0.85
alternative rock;jangle pop;wikidata;1;0.85
alternative rock;Japanese rock;wikidata;1;0.85
alternative rock;lazer;wikidata;1;0.85
alternative rock;mall screamo;wikidata;1;0.85
alternative rock;nu gaze;wikidata;1;0.85
alternative rock;post-Britpop;wikidata;1;0.85
alternative rock;post-grunge;wikidata;1;0.85
alternative rock;sadcore;wikidata;1;0.85
alternative rock;shoegaze;wikidata;1;0.85
amapiano;Afropiano;wikidata;1;0.85
ambient music;ambient americana;wikidata;1;0.85
ambient music;ambient house;wikidata;1;0.85
ambient music;ambient pop;wikidata;1;0.85
ambient music;ambient techno;wikidata;1;0.85
ambient music;dark ambient;wikidata;1;0.85
ambient music;environmental music;wikidata;1;0.85
ambient music;experimental ambient;wikidata;1;0.85
ambient music;space ambient;wikidata;1;0.85
ambient music;tribal ambient;wikidata;1;0.85
American folk music;American roots music;wikidata;1;0.85
American folk music;Appalachian folk music;wikidata;1;0.85
American folk music;Country Blues;wikidata;1;0.85
American folk music;fife and drum blues;wikidata;1;0.85
American folk music;jug band;wikidata;1;0.85
American folk music;New Mexico music;wikidata;1;0.85
American folk music;Old time fiddle;wikidata;1;0.85
American folk music;ring shout;wikidata;1;0.85
American folk music;spirituals;wikidata;1;0.85
American folk music;talking blues;wikidata;1;0.85
American folk music;traditional black gospel;wikidata;1;0.85
American folk music;traditional cajun music;wikidata;1;0.85
American folk music;traditional country music;wikidata;1;0.85
American hardcore punk;Boston hardcore;wikidata;1;0.85
American hardcore punk;Washington, D.C. hardcore punk;wikidata;1;0.85
American hip-hop;Alaskan hip hop;wikidata;1;0.85
American hip-hop;Asian American hip hop;wikidata;1;0.85
American hip-hop;Atlanta hip-hop;wikidata;1;0.85
American hip-hop;Chicago hip-hop;wikidata;1;0.85
American hip-hop;DMV hip-hop;wikidata;1;0.85
American hip-hop;East Coast hip-hop;wikidata;1;0.85
American hip-hop;Houston hip-hop;wikidata;1;0.85
American hip-hop;Memphis rap;wikidata;1;0.85
American hip-hop;Michigan rap;wikidata;1;0.85
American hip-hop;Midwest hip-hop;wikidata;1;0.85
American hip-hop;Milwaukee hip hop;wikidata;1;0.85
American hip-hop;Northwest hip hop;wikidata;1;0.85
American hip-hop;Southern hip-hop;wikidata;1;0.85
American hip-hop;Twin Cities hip hop;wikidata;1;0.85
American hip-hop;West Coast hip-hop;wikidata;1;0.85
American metal;Cascadian black metal;wikidata;1;0.85
American metal;new wave of American heavy metal;wikidata;1;0.85
American metal;US power metal;wikidata;1;0.85
American punk rock;Cleveland punk;wikidata;1;0.85
American rock;American punk rock;wikidata;1;0.85
American rock;American trad rock;wikidata;1;0.85
American rock;Jersey Shore sound;wikidata;1;0.85
American rock;San Francisco Sound;wikidata;1;0.85
American rock;Tulsa sound;wikidata;1;0.85
American rock;West Coast rock;wikidata;1;0.85
Amerindie;Chicago post-rock;wikidata;1;0.85
Amerindie;Louisville sound;wikidata;1;0.85
Amerindie;Paisley Underground;wikidata;1;0.85
Anatolian rock;Arabesque rock;wikidata;1;0.85
ancient music;ancient Celtic music;wikidata;1;0.85
ancient music;ancient Chinese music;wikidata;1;0.85
ancient music;ancient Levitical music;wikidata;1;0.85
ancient music;ancient Naxi music;wikidata;1;0.85
ancient music;ancient Tamil music;wikidata;1;0.85
ancient music;Aztec music;wikidata;1;0.85
ancient music;Byzantine music;wikidata;1;0.85
ancient music;Maya music;wikidata;1;0.85
ancient music;music of ancient Egypt;wikidata;1;0.85
ancient music;music of ancient Greece;wikidata;1;0.85
ancient music;music of ancient India;wikidata;1;0.85
ancient music;music of ancient Rome;wikidata;1;0.85
ancient music;music of Mesopotamia;wikidata;1;0.85
ancient Naxi music;Baisha xiyue;wikidata;1;0.85
ancient Naxi music;dongjing;wikidata;1;0.85
Andalusi classical music;ma'luf;wikidata;1;0.85
Andalusi classical music;tubû;wikidata;1;0.85
Andalusian folk music;fandanguillo of Guadahortuna;wikidata;1;0.85
Andalusian folk music;saeta;wikidata;1;0.85
Andalusian folk music;sevillanas;wikidata;1;0.85
Andean music;Andean folk music;wikidata;1;0.85
Andean music;Andean music (Colombia);wikidata;1;0.85
Andean music;Andean music of Peru;wikidata;1;0.85
Andean music;baguala;wikidata;1;0.85
Andean music;chicha;wikidata;1;0.85
Andean music;cumbia andina mexicana;wikidata;1;0.85
Andean music;harawi;wikidata;1;0.85
Andean music;huaylarsh;wikidata;1;0.85
Andean music;huayno;wikidata;1;0.85
Andean music;Inca music;wikidata;1;0.85
Andean music;Kaluyo vallegrandino;wikidata;1;0.85
Andean music;Kantu;wikidata;1;0.85
Andean music;Mecapaqueña;wikidata;1;0.85
Andean music;morenada;wikidata;1;0.85
Andean music;rock andino;wikidata;1;0.85
Andean music;tonada potosina;wikidata;1;0.85
Andean music;yaraví arequipeño;wikidata;1;0.85
Anglican church music;anthem;wikidata;1;0.85
animation music;anime music;wikidata;1;0.85
anime music;anime song;wikidata;1;0.85
anime music;J-core;wikidata;1;0.85
anthem;coronation anthem;wikidata;1;0.85
anthem;personal anthem;wikidata;1;0.85
anthem;sports anthem;wikidata;1;0.85
antiphon;Marian antiphon;wikidata;1;0.85
Appalachian folk music;old-time music;wikidata;1;0.85
Appalachian music;Appalachian folk music;wikidata;1;0.85
arabesque;Arabesque rock;wikidata;1;0.85
arabesque;R'n'Besk;wikidata;1;0.85
Arabic classical music;Andalusi classical music;wikidata;1;0.85
Arabic classical music;Andalusi nubah;wikidata;1;0.85
Arabic classical music;Iraqi maqam;wikidata;1;0.85
Arabic folk music;aita;wikidata;1;0.85
Arabic folk music;al-ayyalah;wikidata;1;0.85
Arabic folk music;Arabic belly dance music;wikidata;1;0.85
Arabic folk music;Assyrian folk music;wikidata;1;0.85
Arabic folk music;Fann at-Tanbura;wikidata;1;0.85
Arabic folk music;fijiri;wikidata;1;0.85
Arabic folk music;khaliji folk music;wikidata;1;0.85
Arabic folk music;liwa;wikidata;1;0.85
Arabic folk music;nuban;wikidata;1;0.85
Arabic folk music;sa'idi;wikidata;1;0.85
Arabic hip-hop;Maghreb hip hop;wikidata;1;0.85
Arabic music;al-jadīd;wikidata;1;0.85
Arabic music;Arabic classical music;wikidata;1;0.85
Arabic music;Arabic folk music;wikidata;1;0.85
Arabic music;Arabic hip-hop;wikidata;1;0.85
Arabic music;Arabic jazz;wikidata;1;0.85
Arabic music;Arabic pop;wikidata;1;0.85
Arabic music;Arabic rock;wikidata;1;0.85
Arabic music;Bedouin music;wikidata;1;0.85
Arabic music;Khaliji;wikidata;1;0.85
Arabic music;Levant music;wikidata;1;0.85
Arabic music;Levantine Arabic music;wikidata;1;0.85
Arabic music;Madih nabawi;wikidata;1;0.85
Arabic music;marfa;wikidata;1;0.85
Arabic music;mawwal;wikidata;1;0.85
Arabic music;Muwashshah;wikidata;1;0.85
Arabic music;orkes gambus;wikidata;1;0.85
Arabic music;sawt;wikidata;1;0.85
Arabic music;shaabi;wikidata;1;0.85
Arabic music;tarab;wikidata;1;0.85
Arabic music;trap shaabi;wikidata;1;0.85
Arabic music;zajal;wikidata;1;0.85
Arabic pop;al jeel;wikidata;1;0.85
Arabic pop;Assyrian folk/pop;wikidata;1;0.85
Arabic pop;Iranian pop;wikidata;1;0.85
Arabic pop;Levant pop;wikidata;1;0.85
Arabic pop;Maghreb pop;wikidata;1;0.85
Arabic pop;mūsīqā lubnāniyya;wikidata;1;0.85
Arabic pop;Palestinian pop;wikidata;1;0.85
arena rock;adult-oriented rock;wikidata;1;0.85
arena rock;sleaze rock;wikidata;1;0.85
Argentine cumbia;cumbia turra;wikidata;1;0.85
Argentine cumbia;cumbia villera;wikidata;1;0.85
Argentine folklore;estilo;wikidata;1;0.85
Argentine folklore;gauchito;wikidata;1;0.85
Argentine folklore;litoraleña music;wikidata;1;0.85
Argentine rock;música divertida;wikidata;1;0.85
Argentine rock;rock barrial;wikidata;1;0.85
Argentine rock;rock de Mendoza;wikidata;1;0.85
Argentine rock;rock sónico;wikidata;1;0.85
Armenian folk music;Armenian folk dance song;wikidata;1;0.85
Armenian folk music;Armenian pilgrimage song;wikidata;1;0.85
Armenian folk music;Armenian rural music;wikidata;1;0.85
Armenian folk music;Kef music;wikidata;1;0.85
Aromanian music;Aromanian folk music;wikidata;1;0.85
arrocha;arrochadeira;wikidata;1;0.85
arrocha;bregadeira;wikidata;1;0.85
art music;African classical music;wikidata;1;0.85
art music;avant-garde music;wikidata;1;0.85
art music;Buganda royal court music;wikidata;1;0.85
art music;classical music;wikidata;1;0.85
art music;East Asian classical music;wikidata;1;0.85
art music;guoyue;wikidata;1;0.85
art music;Indian classical music;wikidata;1;0.85
art music;inkiranya;wikidata;1;0.85
art music;kete;wikidata;1;0.85
art music;maqāmic music;wikidata;1;0.85
art music;pìobaireachd;wikidata;1;0.85
art music;Southeast Asian classical music;wikidata;1;0.85
art punk;egg punk;wikidata;1;0.85
art song;American art song;wikidata;1;0.85
art song;art song in Arabic;wikidata;1;0.85
art song;Elizabethan song;wikidata;1;0.85
art song;English art song;wikidata;1;0.85
art song;Lied;wikidata;1;0.85
art song;mélodie;wikidata;1;0.85
art song;orchestral song;wikidata;1;0.85
art song;romance;wikidata;1;0.85
Ashkenazi music;Ashkenazi cantorial music;wikidata;1;0.85
Ashkenazi music;Yiddish folksong;wikidata;1;0.85
Asian folk music;Altai folk music;wikidata;1;0.85
Asian folk music;Bashkir folk music;wikidata;1;0.85
Asian folk music;Buryat folk music;wikidata;1;0.85
Asian folk music;Dohori;wikidata;1;0.85
Asian folk music;East Asian folk music;wikidata;1;0.85
Asian folk music;Hazara folk music;wikidata;1;0.85
Asian folk music;Kazakh folk music;wikidata;1;0.85
Asian folk music;Mongolian folk music;wikidata;1;0.85
Asian folk music;South Asian folk music;wikidata;1;0.85
Asian folk music;Southeast Asian folk music;wikidata;1;0.85
Asian folk music;Taiwanese folk music;wikidata;1;0.85
Asian folk music;West Asian folk music;wikidata;1;0.85
Asian hip-hop;Afghan hip hop;wikidata;1;0.85
Asian hip-hop;Bangladeshi hip hop;wikidata;1;0.85
Asian hip-hop;Burmese hip hop;wikidata;1;0.85
Asian hip-hop;Chinese hip hop;wikidata;1;0.85
Asian hip-hop;Desi hip hop;wikidata;1;0.85
Asian hip-hop;Indian hip hop;wikidata;1;0.85
Asian hip-hop;Indonesian hip hop;wikidata;1;0.85
Asian hip-hop;Japanese hip-hop;wikidata;1;0.85
Asian hip-hop;Kazakh hip hop;wikidata;1;0.85
Asian hip-hop;Korean hip-hop;wikidata;1;0.85
Asian hip-hop;Malaysian hip hop;wikidata;1;0.85
Asian hip-hop;Mongolian hip hop;wikidata;1;0.85
Asian hip-hop;Nepalese hip hop;wikidata;1;0.85
Asian hip-hop;Pakistani hip hop;wikidata;1;0.85
Asian hip-hop;Pinoy hip hop;wikidata;1;0.85
Asian hip-hop;Singapore hip hop;wikidata;1;0.85
Asian hip-hop;Sri Lankan hip hop;wikidata;1;0.85
Asian hip-hop;Taiwanese hip hop;wikidata;1;0.85
Asian hip-hop;Thai hip hop;wikidata;1;0.85
Asian hip-hop;Uzbek hip hop;wikidata;1;0.85
Asian hip-hop;Vietnamese hip hop;wikidata;1;0.85
Asturian folk music;asturianada;wikidata;1;0.85
atmospheric black metal;blackgaze;wikidata;1;0.85
atmospheric black metal;Cascadian black metal;wikidata;1;0.85
atmospheric black metal;cosmic black metal;wikidata;1;0.85
Australian rock;Aussie rock;wikidata;1;0.85
Australian rock;Australian indie rock;wikidata;1;0.85
Australian rock;pub rock;wikidata;1;0.85
Austrian folk music;Wienerlied;wikidata;1;0.85
Austronesian music;Batak music;wikidata;1;0.85
Austronesian music;gondang;wikidata;1;0.85
Austronesian music;Igorot music;wikidata;1;0.85
Austronesian music;indigenous Taiwanese music;wikidata;1;0.85
Austronesian music;Pakacaping music;wikidata;1;0.85
avant-garde jazz;experimental big band;wikidata;1;0.85
avant-garde jazz;free funk;wikidata;1;0.85
avant-garde jazz;free jazz;wikidata;1;0.85
avant-garde music;avant-garde jazz;wikidata;1;0.85
avant-garde music;avant-prog;wikidata;1;0.85
avant-garde music;sound sculpture;wikidata;1;0.85
avant-prog;Rock in Opposition;wikidata;1;0.85
avant-prog;Zeuhl;wikidata;1;0.85
axé;pagode baiano;wikidata;1;0.85
axé;samba reggae;wikidata;1;0.85
Azerbaijani folk music;meykhana;wikidata;1;0.85
bachata;bachatón;wikidata;1;0.85
bachata;traditional bachata;wikidata;1;0.85
background music;boss music;wikidata;1;0.85
background music;elevator music;wikidata;1;0.85
Baganda music;Buganda royal court music;wikidata;1;0.85
Baganda music;mataali;wikidata;1;0.85
bal-musette;swing musette;wikidata;1;0.85
baladi;maqsoum;wikidata;1;0.85
Balkan folk music;Albanian folk music;wikidata;1;0.85
Balkan folk music;Aromanian folk music;wikidata;1;0.85
Balkan folk music;Balkan brass;wikidata;1;0.85
Balkan folk music;Bosnian and Herzegovinian folk music;wikidata;1;0.85
Balkan folk music;Bulgarian folk music;wikidata;1;0.85
Balkan folk music;Croatian folk music;wikidata;1;0.85
Balkan folk music;Csango folk music;wikidata;1;0.85
Balkan folk music;Gagauz folk music;wikidata;1;0.85
Balkan folk music;ganga;wikidata;1;0.85
Balkan folk music;lăutărească music;wikidata;1;0.85
Balkan folk music;Macedonian folk music;wikidata;1;0.85
Balkan folk music;Montenegrin folk music;wikidata;1;0.85
Balkan folk music;Serbian folk music;wikidata;1;0.85
Balkan pop-folk;Albanian pop-folk;wikidata;1;0.85
Balkan pop-folk;chalga;wikidata;1;0.85
Balkan pop-folk;Croatian pop-folk;wikidata;1;0.85
Balkan pop-folk;manele;wikidata;1;0.85
Balkan pop-folk;modern laika;wikidata;1;0.85
Balkan pop-folk;muzică de mahala;wikidata;1;0.85
Balkan pop-folk;novokomponovana narodna muzika;wikidata;1;0.85
Balkan pop-folk;Serbian pop-folk;wikidata;1;0.85
Balkan pop-folk;tallava;wikidata;1;0.85
Balkan pop-folk;turbo-folk;wikidata;1;0.85
ballad;Basque ballad;wikidata;1;0.85
ballad;blues ballad;wikidata;1;0.85
ballad;border ballad;wikidata;1;0.85
ballad;Bugarštica;wikidata;1;0.85
ballad;bush ballad;wikidata;1;0.85
ballad;corrido;wikidata;1;0.85
ballad;cântec batrânesc;wikidata;1;0.85
ballad;execution ballad;wikidata;1;0.85
ballad;Irish ballad;wikidata;1;0.85
ballad;medieval ballad;wikidata;1;0.85
ballad;murder ballad;wikidata;1;0.85
ballad;Russian ballad;wikidata;1;0.85
ballad;sentimental ballad;wikidata;1;0.85
ballad;teenage tragedy song;wikidata;1;0.85
ballet;ballet de cour;wikidata;1;0.85
ballet;comédie-ballet;wikidata;1;0.85
ballet;entrée;wikidata;1;0.85
ballet;opéra-ballet;wikidata;1;0.85
Balochi music;Balochi folk music;wikidata;1;0.85
Baltic folk music;Latvian folk music;wikidata;1;0.85
Baltic folk music;Lithuanian folk music;wikidata;1;0.85
Balto-Finnic folk music;Estonian folk music;wikidata;1;0.85
Balto-Finnic folk music;Finnish folk music;wikidata;1;0.85
Balto-Finnic folk music;Karelian folk music;wikidata;1;0.85
Balto-Finnic folk music;Livonian folk music;wikidata;1;0.85
Balto-Finnic folk music;runo song;wikidata;1;0.85
Bamar music;Bamar folk music;wikidata;1;0.85
bambuco;Venezuelan bambuco;wikidata;1;0.85
band music;brass band music;wikidata;1;0.85
band music;concert band music;wikidata;1;0.85
band music;marching band music;wikidata;1;0.85
band music;steel band music;wikidata;1;0.85
band music;string band music;wikidata;1;0.85
banda music;narcocorrido;wikidata;1;0.85
banda music;technobanda;wikidata;1;0.85
banda music;Tierra Caliente music;wikidata;1;0.85
barbershop music;jubilee;wikidata;1;0.85
bard song;author acoustic song;wikidata;1;0.85
bard song;bard rock;wikidata;1;0.85
Baroque music;ballet de cour;wikidata;1;0.85
Baroque music;baroque pop;wikidata;1;0.85
Baroque music;baroque zarzuela;wikidata;1;0.85
Baroque music;cibell;wikidata;1;0.85
Baroque music;comédie-ballet;wikidata;1;0.85
Baroque music;da capo aria;wikidata;1;0.85
Baroque music;early baroque music;wikidata;1;0.85
Baroque music;empfindsamkeit;wikidata;1;0.85
Baroque music;French baroque music;wikidata;1;0.85
Baroque music;French overture;wikidata;1;0.85
Baroque music;Galante music;wikidata;1;0.85
Baroque music;humorous baroque music;wikidata;1;0.85
Baroque music;Italian baroque music;wikidata;1;0.85
Baroque music;Late Baroque;wikidata;1;0.85
Baroque music;opéra-ballet;wikidata;1;0.85
Baroque music;sarabande;wikidata;1;0.85
baroque pop;Shibuya-kei;wikidata;1;0.85
Bashkir folk music;Bashkir folk song;wikidata;1;0.85
Bashkir folk music;kyska-kui;wikidata;1;0.85
Bashkir folk music;takmak;wikidata;1;0.85
Bashkir folk music;uzun-kui;wikidata;1;0.85
Bashkir song;Bashkir folk song;wikidata;1;0.85
Basque folk music;trikiti;wikidata;1;0.85
Basque music;Basque ballad;wikidata;1;0.85
Basque music;Basque folk music;wikidata;1;0.85
Basque music;Basque rock;wikidata;1;0.85
Basque rock;Basque radical rock;wikidata;1;0.85
bass house;speed house;wikidata;1;0.85
bass music;bass;wikidata;1;0.85
bass music;bass music (EDM);wikidata;1;0.85
bass music;US bass music;wikidata;1;0.85
bass music (EDM);bass house;wikidata;1;0.85
bass music (EDM);bassline;wikidata;1;0.85
bass music (EDM);bubblegum bass;wikidata;1;0.85
bass music (EDM);dubstep;wikidata;1;0.85
bass music (EDM);EDM trap music;wikidata;1;0.85
bass music (EDM);footwork;wikidata;1;0.85
bass music (EDM);funkstep;wikidata;1;0.85
bass music (EDM);future bass;wikidata;1;0.85
bass music (EDM);hardwave;wikidata;1;0.85
bass music (EDM);jungle terror;wikidata;1;0.85
bass music (EDM);melodic bass;wikidata;1;0.85
bass music (EDM);midtempo bass;wikidata;1;0.85
bass music (EDM);moombahcore;wikidata;1;0.85
bass music (EDM);UK bass;wikidata;1;0.85
bass music (EDM);wave;wikidata;1;0.85
bassline;UK jackin';wikidata;1;0.85
Batak music;gondang;wikidata;1;0.85
Batak music;pop batak;wikidata;1;0.85
batonebi songs;Iavnana;wikidata;1;0.85
battle rap;a capella battle rap;wikidata;1;0.85
Batuque de Umbigada;batuque paulista;wikidata;1;0.85
beat music;beat mass;wikidata;1;0.85
beat music;Candombe beat;wikidata;1;0.85
beat music;freakbeat;wikidata;1;0.85
beat music;group sounds;wikidata;1;0.85
beat music;Italian beat;wikidata;1;0.85
beat music;jovem guarda;wikidata;1;0.85
beat music;Merseybeat;wikidata;1;0.85
beat music;Nederbeat;wikidata;1;0.85
beats;Type Beat;wikidata;1;0.85
bebop;hard bop;wikidata;1;0.85
bebop;post-bop;wikidata;1;0.85
bebop;vocal be-bop;wikidata;1;0.85
bebop;wabap biguine;wikidata;1;0.85
Bedouin music;al-ayyalah;wikidata;1;0.85
Bedouin music;samri;wikidata;1;0.85
Bedouin music;sheilat;wikidata;1;0.85
bedroom pop;sapphic pop;wikidata;1;0.85
Bengali folk music;Agamani-Vijaya;wikidata;1;0.85
Bengali folk music;baul gaan;wikidata;1;0.85
Berber music;ahwash;wikidata;1;0.85
Berber music;Izlan;wikidata;1;0.85
Berber music;Kabyle music;wikidata;1;0.85
Berber music;Sahrawi music;wikidata;1;0.85
Berber music;staifi music;wikidata;1;0.85
Berber music;Tuareg music;wikidata;1;0.85
bhangra;bhangragga;wikidata;1;0.85
bhangra;folkhop;wikidata;1;0.85
bhangra;Jhumar;wikidata;1;0.85
bhavageete;Sugama Sangeetha;wikidata;1;0.85
Bhojpuri folk music;biraha;wikidata;1;0.85
Bhojpuri folk music;Chaiti;wikidata;1;0.85
Bhojpuri folk music;Kajari;wikidata;1;0.85
Bhojpuri folk music;Phagua;wikidata;1;0.85
Bhojpuri music;Bhojpuri folk music;wikidata;1;0.85
Bhutanese folk music;boedra;wikidata;1;0.85
Bhutanese folk music;zhungdra;wikidata;1;0.85
big band music;dance band music;wikidata;1;0.85
big band music;modern big band music;wikidata;1;0.85
big band music;New Big Band;wikidata;1;0.85
big band music;progressive big band;wikidata;1;0.85
big room house;future rave;wikidata;1;0.85
biguine;wabap biguine;wikidata;1;0.85
